pg_id;gamme;famille;pg_level;pg_top;pg_relfollow;pg_sitemap;pg_display;trends;g_level_actuel;statut_index;action_recommandee;votre_action;notes
1145;"Vanne EGR";"Système d'alimentation";1;1;1;1;1;87;G1;INDEX;;;
3902;"Injecteur";"Système d'alimentation";1;0;1;0;1;87;G2;INDEX;PROMOUVOIR_G1;;
290;"Feu arrière";"Eclairage";1;0;1;0;1;87;G2;INDEX;PROMOUVOIR_G1;;
854;"Amortisseur";"Amortisseur et suspension";1;1;1;1;1;86;G1;INDEX;;;
2;"Démarreur";"Système électrique";1;1;1;1;1;85;G1;INDEX;;;
1361;"Serrure de porte";"Accessoires";2;0;0;0;1;85;G3;NOINDEX;PROMOUVOIR_INDEX;;
247;"Support moteur";"Support moteur";1;1;1;1;1;84;G1;INDEX;;;
4;"Alternateur";"Système électrique";1;1;1;1;1;83;G1;INDEX;;;
13;"Cardan";"Transmission";1;1;1;1;1;82;G1;INDEX;;;
3890;"Electrovanne";"Capteurs";2;0;0;0;1;82;G3;NOINDEX;PROMOUVOIR_INDEX;;
1373;"Poignée de porte";"Accessoires";2;0;0;0;1;82;G3;NOINDEX;PROMOUVOIR_INDEX;;
306;"Courroie de distribution";"Courroie, galet, poulie et chaîne";1;0;1;1;1;80;G2;INDEX;PROMOUVOIR_G1;;
318;"Joint de culasse";"Moteur";1;0;1;1;1;80;G2;INDEX;PROMOUVOIR_G1;;
432;"Culbuteur";"Moteur";2;0;0;0;1;80;G3;NOINDEX;PROMOUVOIR_INDEX;;
274;"Barre stabilisatrice";"Direction et liaison au sol";2;0;1;0;1;79;G3;NOINDEX;PROMOUVOIR_INDEX;;
2234;"Turbo";"Turbo";1;1;1;0;1;79;G1;INDEX;;;
429;"Catalyseur";"Echappement";1;0;1;0;1;77;G2;INDEX;PROMOUVOIR_G1;;
111;"Ampoule feu stop";"Eclairage";2;0;0;0;1;75;G3;NOINDEX;PROMOUVOIR_INDEX;;
82;"Disque de frein";"Freinage";1;1;1;1;1;74;G1;INDEX;;;
1260;"Pompe à eau";"Courroie, galet, poulie et chaîne";1;1;1;1;1;74;G1;INDEX;;;
2066;"Rotule de direction";"Direction et liaison au sol";1;1;1;1;1;74;G1;INDEX;;;
1260;"Pompe à eau";"Refroidissement";1;1;1;1;1;74;G1;INDEX;;;
39;"Attelage";"Accessoires";1;0;0;0;1;74;G2;INDEX;PROMOUVOIR_G1;;
8;"Filtre à air";"Filtres";1;1;1;1;1;72;G1;INDEX;;;
1123;"Chaîne de distribution";"Courroie, galet, poulie et chaîne";1;0;1;1;1;72;G2;INDEX;PROMOUVOIR_G1;;
479;"Kit d'embrayage";"Embrayage";1;1;1;1;1;72;G1;INDEX;;;
3904;"Pompe à injection";"Système d'alimentation";2;0;1;0;1;71;G3;NOINDEX;PROMOUVOIR_INDEX;;
402;"Plaquette de frein";"Freinage";1;1;1;1;1;69;G1;INDEX;;;
78;"Étrier de frein";"Freinage";1;0;1;1;1;65;G2;INDEX;PROMOUVOIR_G1;;
115;"Ampoule feu arrière";"Eclairage";2;0;0;0;1;65;G3;NOINDEX;PROMOUVOIR_INDEX;;
10;"Courroie d'accessoire";"Courroie, galet, poulie et chaîne";1;1;1;1;1;64;G1;INDEX;;;
1367;"Neiman";"Système électrique";1;0;0;0;1;64;G2;INDEX;PROMOUVOIR_G1;;
657;"Boulon de roue";"Accessoires";2;0;0;0;1;64;G3;NOINDEX;PROMOUVOIR_INDEX;;
3927;"Débitmètre d'air";"Système d'alimentation";1;1;1;1;1;62;G1;INDEX;;;
1561;"Lève-vitre";"Accessoires";1;0;1;0;1;61;G2;INDEX;PROMOUVOIR_G1;;
130;"Amortisseur de direction";"Direction et liaison au sol";2;0;0;0;1;60;G3;NOINDEX;PROMOUVOIR_INDEX;;
817;"Capteur pression de carburant";"Capteurs";1;0;1;0;1;60;G2;INDEX;PROMOUVOIR_G1;;
7;"Filtre à huile";"Filtres";1;1;1;1;1;58;G1;INDEX;;;
424;"Filtre d'habitacle";"Filtres";1;0;1;1;1;57;G2;INDEX;PROMOUVOIR_G1;;
424;"Filtre d'habitacle";"Climatisation";1;0;1;1;1;57;G2;INDEX;PROMOUVOIR_G1;;
285;"Barre de direction";"Direction et liaison au sol";1;0;1;1;1;52;G2;INDEX;PROMOUVOIR_G1;;
316;"Thermostat";"Refroidissement";1;0;1;1;1;50;G2;INDEX;PROMOUVOIR_G1;;
158;"Boîtier papillon";"Système d'alimentation";1;0;1;1;1;49;G2;INDEX;;;
689;"Bobine d'allumage";"Préchauffage et allumage";1;0;1;0;1;48;G2;INDEX;;;
107;"Ampoule feu avant";"Eclairage";2;0;0;0;1;45;G3;NOINDEX;PROMOUVOIR_INDEX;;
2462;"Rotule de suspension";"Direction et liaison au sol";1;1;1;1;1;44;G1;INDEX;;;
593;"Bouchon de vidange";"Moteur";2;0;0;0;1;44;G3;NOINDEX;PROMOUVOIR_INDEX;;
297;"Avertisseur sonore";"Accessoires";2;0;0;0;1;42;G3;NOINDEX;PROMOUVOIR_INDEX;;
243;"Bougie de préchauffage";"Préchauffage et allumage";1;1;1;1;1;41;G1;INDEX;;;
273;"Bras de suspension";"Direction et liaison au sol";1;1;1;1;1;41;G1;INDEX;;;
548;"Bouchon de radiateur";"Refroidissement";2;0;0;0;1;40;G3;NOINDEX;PROMOUVOIR_INDEX;;
1256;"FAP";"Echappement";1;0;1;0;1;40;G2;INDEX;;;
123;"Tambour de frein";"Freinage";1;0;1;1;1;35;G2;INDEX;;;
2275;"Capteur de pluie";"Accessoires";2;0;0;0;1;35;G3;NOINDEX;PROMOUVOIR_INDEX;;
653;"Moyeu de roue";"Direction et liaison au sol";2;0;0;0;1;34;G3;NOINDEX;PROMOUVOIR_INDEX;;
26;"Silencieux";"Echappement";1;0;0;0;0;34;G2;INDEX;;;
686;"Bougie d'allumage";"Préchauffage et allumage";1;1;1;0;1;33;G1;INDEX;;;
577;"Volant moteur";"Embrayage";1;0;1;1;1;32;G2;INDEX;;;
478;"Câble d'embrayage";"Embrayage";1;0;1;1;1;32;G2;INDEX;;;
1211;"Colonne de direction";"Direction et liaison au sol";1;0;1;0;1;30;G2;INDEX;;;
83;"Flexible de frein";"Freinage";1;0;1;1;1;28;G2;INDEX;;;
592;"Carter d'huile";"Moteur";1;0;1;0;1;28;G2;INDEX;;;
412;"Capteur ABS";"Freinage";1;0;1;1;1;26;G2;INDEX;;;
412;"Capteur ABS";"Capteurs";1;0;1;1;1;26;G2;INDEX;;;
469;"Radiateur d'huile";"Moteur";2;0;0;0;1;25;G3;NOINDEX;;;
3230;"Biellette de barre stabilisatrice";"Direction et liaison au sol";1;0;0;0;1;23;G2;INDEX;;;
447;"Compresseur de climatisation";"Climatisation";1;1;1;1;1;22;G1;INDEX;;;
307;"Kit de distribution";"Courroie, galet, poulie et chaîne";1;1;1;1;1;19;G1;INDEX;;;
12;"Pompe de direction assistée";"Direction et liaison au sol";1;0;1;1;1;18;G2;INDEX;;;
1533;"Vis de culasse";"Moteur";1;0;1;0;1;17;G2;INDEX;;;
508;"Ventilateur de refroidissement";"Refroidissement";1;0;1;0;1;17;G2;INDEX;;;
596;"Pompe à huile";"Moteur";2;0;0;0;1;16;G3;NOINDEX;;;
2126;"Ampoule feu de position";"Eclairage";2;0;0;0;1;16;G3;NOINDEX;;;
475;"Durite de refroidissement";"Refroidissement";1;0;1;0;1;12;G2;INDEX;;;
193;"Soufflet de Cardan";"Transmission";1;0;1;0;1;11;G2;INDEX;;;
259;"Feu avant";"Eclairage";1;0;1;0;1;11;G2;INDEX;;;
9;"Filtre à carburant";"Filtres";1;1;1;1;1;10;G1;INDEX;;;
655;"Roulement de roue";"Direction et liaison au sol";1;0;1;0;1;9;G2;INDEX;;;
48;"Butée d'embrayage";"Embrayage";1;0;1;1;1;9;G2;INDEX;;;
903;"Pompe à air";"Système d'alimentation";2;0;0;0;1;9;G3;NOINDEX;;;
146;"Joint de boîte vitesse";"Moteur";2;0;0;0;1;9;G3;NOINDEX;;;
407;"Témoin d'usure";"Freinage";1;0;1;1;1;7;G2;INDEX;;;
3213;"Poulie vilebrequin";"Courroie, galet, poulie et chaîne";1;0;1;1;1;7;G2;INDEX;;;
566;"Arbre à came";"Moteur";2;0;0;0;1;7;G3;NOINDEX;;;
455;"Joint de carter d'huile";"Moteur";2;0;0;0;1;7;G3;NOINDEX;;;
3922;"Sonde lambda";"Capteurs";1;0;1;0;1;6;G2;INDEX;;;
3922;"Sonde lambda";"Echappement";1;0;1;0;1;6;G2;INDEX;;;
50;"Rétroviseur  extérieur";"Accessoires";1;0;1;0;1;6;G2;INDEX;;;
295;"Moteur d'essuie-glace";"Accessoires";2;0;0;0;1;6;G3;NOINDEX;;;
54;"Vis de disque";"Freinage";2;0;0;0;1;5;G3;NOINDEX;;;
168;"Régulateur de pression carburant";"Système d'alimentation";2;0;0;0;1;5;G3;NOINDEX;;;
114;"Ampoule feu de recul";"Eclairage";2;0;0;0;1;5;G3;NOINDEX;;;
618;"Câble d'accélérateur";"Accessoires";2;0;0;0;1;5;G3;NOINDEX;;;
467;"Radiateur de chauffage";"Refroidissement";1;0;1;0;1;4;G2;INDEX;;;
397;"Vase d'expansion";"Refroidissement";2;0;1;0;1;4;G3;NOINDEX;;;
56;"Bouchon vase d'expansion";"Refroidissement";2;0;0;0;1;4;G3;NOINDEX;;;
62;"Feu clignotant";"Eclairage";1;0;1;0;1;4;G2;INDEX;;;
298;"Balais d'essuie-glace";"Accessoires";1;1;1;0;1;4;G1;INDEX;VERIFIER_G1;;
5032;"Vérin de coffre";"Accessoires";2;0;0;0;1;4;G3;NOINDEX;;;
234;"Emetteur d'embrayage";"Embrayage";1;0;1;1;1;3;G2;INDEX;;;
105;"Ampoule feu clignotant";"Eclairage";2;0;0;0;1;3;G3;NOINDEX;;;
301;"Bras d'essuie-glace";"Accessoires";2;0;0;0;1;3;G3;NOINDEX;;;
277;"Cylindre de roue";"Freinage";1;0;1;1;1;2;G2;INDEX;;;
74;"Servo frein";"Freinage";1;0;1;0;0;2;G2;INDEX;;;
188;"Ressort de suspension";"Amortisseur et suspension";1;0;1;0;1;2;G2;INDEX;;;
458;"Pompe à carburant";"Système d'alimentation";1;1;1;1;1;2;G1;INDEX;VERIFIER_G1;;
3918;"Pompe à haute pression";"Système d'alimentation";2;0;0;0;1;2;G3;NOINDEX;;;
3964;"Tube de distributeur carburant";"Système d'alimentation";2;0;0;0;1;2;G3;NOINDEX;;;
3219;"Bride de liquide de refroidissement";"Refroidissement";2;0;0;0;1;2;G3;NOINDEX;;;
448;"Condenseur de climatisation";"Climatisation";1;0;1;1;1;2;G2;INDEX;;;
17;"Tube d'échappement";"Echappement";1;0;1;0;0;2;G2;INDEX;;;
468;"Intercooler";"Turbo";2;0;0;0;1;2;G3;NOINDEX;;;
685;"Faisceau d'allumage";"Préchauffage et allumage";1;0;1;0;1;1;G2;INDEX;;;
1218;"Module d'allumage";"Préchauffage et allumage";2;0;0;0;1;1;G3;NOINDEX;;;
191;"Soufflet de direction";"Direction et liaison au sol";1;0;1;0;1;1;G2;INDEX;;;
249;"Support de boîte vitesse";"Support moteur";1;0;0;0;1;1;G2;INDEX;;;
4688;"Guide d'embrayage";"Embrayage";2;0;0;0;1;1;G3;NOINDEX;;;
4813;"Capteur impulsion";"Capteurs";1;0;0;0;1;1;G2;INDEX;;;
830;"Sonde de refroidissement";"Capteurs";1;0;1;0;1;1;G2;INDEX;;;
3894;"Joint d'injecteur";"Système d'alimentation";1;0;1;0;1;1;G2;INDEX;;;
862;"Pompe d'amorcage";"Système d'alimentation";2;0;0;0;1;1;G3;NOINDEX;;;
321;"Joint de cache culbuteurs";"Moteur";1;0;1;0;1;1;G2;INDEX;;;
40;"Joint de collecteur";"Moteur";1;0;1;0;1;1;G2;INDEX;;;
1270;"Soupape d'échappement";"Moteur";1;0;1;0;1;1;G2;INDEX;;;
470;"Radiateur de refroidissement";"Refroidissement";1;1;1;1;1;1;G1;INDEX;VERIFIER_G1;;
830;"Sonde de refroidissement";"Refroidissement";1;0;1;0;1;1;G2;INDEX;;;
1385;"Commande de ventilation";"Refroidissement";1;0;1;0;1;1;G2;INDEX;;;
183;"Détendeur de climatisation";"Climatisation";1;0;1;0;1;1;G2;INDEX;;;
1385;"Commande de ventilation";"Climatisation";1;0;1;0;1;1;G2;INDEX;;;
1543;"Collecteur d'échappement";"Echappement";2;0;0;0;1;1;G3;NOINDEX;;;
1431;"Ballast à lampe xénon";"Eclairage";2;0;0;0;1;1;G3;NOINDEX;;;
2623;"Capteur parctronic";"Accessoires";2;0;0;0;1;1;G3;NOINDEX;;;
416;"Filtre de boîte auto";"Filtres";1;0;0;0;1;0;G2;INDEX;;;
3859;"Kit de freins arrière";"Freinage";1;0;1;1;1;0;G2;INDEX;;;
70;"Mâchoires de frein";"Freinage";1;0;1;1;1;0;G2;INDEX;;;
806;"Interrupteur des feux de freins";"Freinage";1;0;1;1;1;0;G2;INDEX;;;
124;"Câble de frein à main";"Freinage";1;0;1;1;1;0;G2;INDEX;;;
258;"Maître cylindre de frein";"Freinage";1;0;1;1;1;0;G2;INDEX;;;
415;"Agregat de freinage";"Freinage";1;0;1;0;1;0;G2;INDEX;;;
73;"Répartiteur de frein";"Freinage";2;0;0;0;1;0;G3;NOINDEX;;;
387;"Pompe à vide de freinage";"Freinage";2;0;1;0;1;0;G3;NOINDEX;;;
310;"Galet tendeur de courroie d'accessoire";"Courroie, galet, poulie et chaîne";1;0;1;1;1;0;G2;INDEX;;;
312;"Galet enrouleur de courroie d'accessoire";"Courroie, galet, poulie et chaîne";1;0;1;0;1;0;G2;INDEX;;;
308;"Galet tendeur de courroie de distribution";"Courroie, galet, poulie et chaîne";2;0;0;0;1;0;G3;NOINDEX;;;
313;"Galet enrouleur de courroie de distribution";"Courroie, galet, poulie et chaîne";2;0;0;0;1;0;G3;NOINDEX;;;
