famille,pg_id,gamme,alias,pg_level,pg_top,g_level_estime,keyword,avg_monthly_searches,competition,competition_index
"Filtres",8,"Filtre à air",filtre-a-air,1,1,G1,"filtre à air",0,UNKNOWN,0
"Filtres",9,"Filtre à carburant",filtre-a-carburant,1,1,G1,"filtre à carburant",0,UNKNOWN,0
"Filtres",7,"Filtre à huile",filtre-a-huile,1,1,G1,"filtre à huile",0,UNKNOWN,0
"Filtres",424,"Filtre d'habitacle",filtre-d-habitacle,1,0,G2,"filtre d'habitacle",0,UNKNOWN,0
"Filtres",416,"Filtre de boîte auto",filtre-de-boite-auto,1,0,G2,"filtre de boîte auto",0,UNKNOWN,0
"Freinage",415,"Agregat de freinage",agregat-de-freinage,1,0,G2,"agregat de freinage",0,UNKNOWN,0
"Freinage",124,"Câble de frein à main",cable-de-frein-a-main,1,0,G2,"câble de frein à main",0,UNKNOWN,0
"Freinage",412,"Capteur ABS",capteur-abs,1,0,G2,"capteur abs",0,UNKNOWN,0
"Freinage",277,"Cylindre de roue",cylindre-de-roue,1,0,G2,"cylindre de roue",0,UNKNOWN,0
"Freinage",82,"Disque de frein",disque-de-frein,1,1,G1,"disque de frein",0,UNKNOWN,0
"Freinage",78,"Étrier de frein",etrier-de-frein,1,0,G2,"étrier de frein",0,UNKNOWN,0
"Freinage",83,"Flexible de frein",flexible-de-frein,1,0,G2,"flexible de frein",0,UNKNOWN,0
"Freinage",806,"Interrupteur des feux de freins",interrupteur-des-feux-de-freins,1,0,G2,"interrupteur des feux de freins",0,UNKNOWN,0
"Freinage",3859,"Kit de freins arrière",kit-de-freins-arriere,1,0,G2,"kit de freins arrière",0,UNKNOWN,0
"Freinage",70,"Mâchoires de frein",machoires-de-frein,1,0,G2,"mâchoires de frein",0,UNKNOWN,0
"Freinage",258,"Maître cylindre de frein",maitre-cylindre-de-frein,1,0,G2,"maître cylindre de frein",0,UNKNOWN,0
"Freinage",402,"Plaquette de frein",plaquette-de-frein,1,1,G1,"plaquette de frein",0,UNKNOWN,0
