pg_id;gamme;famille;trends_index;seo_score;serp_score;google_suggest;bing_suggest;competitor_presence;competition_difficulty;competition_level;search_intent;intent_confidence;shopping_likely;paa_count;commercial_value;current_g_level;recommended_g_level;action_recommended
3902;"Injecteur";"Système d'alimentation";87;96;74;10;12;4;90;HARD;TRANSACTIONAL;25;OUI;18;95;G2;G1;PROMOUVOIR_G1
1145;"Vanne EGR";"Système d'alimentation";87;97;88;10;4;4;55;MEDIUM;TRANSACTIONAL;35;OUI;15;80;G1;G1;
290;"Feu arrière";"Eclairage";87;96;88;10;3;4;55;MEDIUM;TRANSACTIONAL;35;OUI;10;80;G2;G1;PROMOUVOIR_G1
854;"Amortisseur";"Amortisseur et suspension";86;97;80;10;9;4;75;HARD;TRANSACTIONAL;25;OUI;18;90;G1;G1;
2;"Démarreur";"Système électrique";85;91;80;10;12;4;75;HARD;TRANSACTIONAL;45;OUI;18;50;G1;G1;
1361;"Serrure de porte";"Accessoires";85;82;67;10;12;4;45;MEDIUM;COMMERCIAL_INVESTIGATION;30;NON;9;50;G3;G2;PROMOUVOIR_INDEX
247;"Support moteur";"Support moteur";84;85;57;10;6;4;70;HARD;COMMERCIAL_INVESTIGATION;30;NON;12;95;G1;G1;
4;"Alternateur";"Système électrique";83;90;80;10;10;4;75;HARD;TRANSACTIONAL;45;OUI;18;50;G1;G1;
13;"Cardan";"Transmission";82;95;80;10;12;4;75;HARD;TRANSACTIONAL;35;OUI;18;80;G1;G1;
3890;"Electrovanne";"Capteurs";82;79;55;10;2;4;75;HARD;COMMERCIAL_INVESTIGATION;30;NON;9;80;G3;G2;PROMOUVOIR_INDEX
1373;"Poignée de porte";"Accessoires";82;86;67;10;11;4;45;MEDIUM;COMMERCIAL_INVESTIGATION;30;NON;11;80;G3;G1;PROMOUVOIR_G1
306;"Courroie de distribution";"Courroie, galet, poulie et chaîne";80;99;92;10;10;4;45;MEDIUM;TRANSACTIONAL;35;OUI;14;90;G2;G1;PROMOUVOIR_G1
432;"Culbuteur";"Moteur";80;75;55;10;3;4;75;HARD;COMMERCIAL_INVESTIGATION;30;NON;13;50;G3;G2;PROMOUVOIR_INDEX
318;"Joint de culasse";"Moteur";80;93;92;10;12;4;45;MEDIUM;TRANSACTIONAL;45;OUI;13;50;G2;G1;PROMOUVOIR_G1
274;"Barre stabilisatrice";"Direction et liaison au sol";79;76;63;10;1;4;55;MEDIUM;COMMERCIAL_INVESTIGATION;30;NON;17;50;G3;G2;PROMOUVOIR_INDEX
2234;"Turbo";"Turbo";79;90;74;10;12;4;90;HARD;TRANSACTIONAL;25;OUI;18;65;G1;G1;
429;"Catalyseur";"Echappement";77;89;65;10;7;4;75;HARD;TRANSACTIONAL;20;NON;18;80;G2;G1;PROMOUVOIR_G1
111;"Ampoule feu stop";"Eclairage";75;70;67;3;12;4;45;MEDIUM;COMMERCIAL_INVESTIGATION;26;NON;7;50;G3;G2;PROMOUVOIR_INDEX
82;"Disque de frein";"Freinage";74;98;92;10;12;4;45;MEDIUM;TRANSACTIONAL;45;OUI;15;90;G1;G1;
1260;"Pompe à eau";"Courroie, galet, poulie et chaîne";74;97;92;10;12;4;45;MEDIUM;TRANSACTIONAL;25;OUI;17;80;G1;G1;
2066;"Rotule de direction";"Direction et liaison au sol";74;97;92;10;12;4;45;MEDIUM;TRANSACTIONAL;25;OUI;12;80;G1;G1;
1260;"Pompe à eau";"Refroidissement";74;97;92;10;12;4;45;MEDIUM;TRANSACTIONAL;25;OUI;17;80;G1;G1;
39;"Attelage";"Accessoires";74;77;41;10;12;4;85;HARD;NAVIGATIONAL;30;NON;16;80;G2;G2;
8;"Filtre à air";"Filtres";72;92;88;10;12;4;55;MEDIUM;TRANSACTIONAL;35;OUI;11;60;G1;G1;
1123;"Chaîne de distribution";"Courroie, galet, poulie et chaîne";72;97;92;10;12;4;45;MEDIUM;TRANSACTIONAL;45;OUI;18;80;G2;G1;PROMOUVOIR_G1
479;"Kit d'embrayage";"Embrayage";72;77;82;3;1;4;70;HARD;TRANSACTIONAL;55;OUI;8;65;G1;G2;
3904;"Pompe à injection";"Système d'alimentation";71;92;92;7;12;4;45;MEDIUM;TRANSACTIONAL;35;OUI;14;80;G3;G1;PROMOUVOIR_G1
402;"Plaquette de frein";"Freinage";69;96;88;10;10;4;55;MEDIUM;TRANSACTIONAL;35;OUI;13;90;G1;G1;
78;"Étrier de frein";"Freinage";65;97;92;10;12;4;45;MEDIUM;TRANSACTIONAL;35;OUI;16;90;G2;G1;PROMOUVOIR_G1
115;"Ampoule feu arrière";"Eclairage";65;75;67;8;12;4;45;MEDIUM;COMMERCIAL_INVESTIGATION;26;NON;6;50;G3;G2;PROMOUVOIR_INDEX
10;"Courroie d'accessoire";"Courroie, galet, poulie et chaîne";64;91;88;10;0;4;55;MEDIUM;TRANSACTIONAL;35;OUI;13;90;G1;G1;
1367;"Neiman";"Système électrique";64;75;55;10;12;4;75;HARD;COMMERCIAL_INVESTIGATION;30;NON;13;50;G2;G2;
657;"Boulon de roue";"Accessoires";64;77;63;10;12;4;55;MEDIUM;COMMERCIAL_INVESTIGATION;26;NON;5;50;G3;G2;PROMOUVOIR_INDEX
3927;"Débitmètre d'air";"Système d'alimentation";62;76;63;10;0;4;55;MEDIUM;COMMERCIAL_INVESTIGATION;30;NON;7;80;G1;G2;
1561;"Lève-vitre";"Accessoires";61;74;55;10;0;4;75;HARD;COMMERCIAL_INVESTIGATION;30;NON;6;80;G2;G2;
