famille,pg_id,gamme,alias,pg_level,pg_top,g_level_estime,keyword,trends_index
"Filtres",8,"Filtre à air",filtre-a-air,1,1,G1,"filtre à air",72
"Filtres",9,"Filtre à carburant",filtre-a-carburant,1,1,G1,"filtre à carburant",10
"Filtres",7,"Filtre à huile",filtre-a-huile,1,1,G1,"filtre à huile",58
"Filtres",424,"Filtre d'habitacle",filtre-d-habitacle,1,0,G2,"filtre d'habitacle",57
"Filtres",416,"Filtre de boîte auto",filtre-de-boite-auto,1,0,G2,"filtre de boîte auto",0
"Freinage",415,"Agregat de freinage",agregat-de-freinage,1,0,G2,"agregat de freinage",0
"Freinage",124,"Câble de frein à main",cable-de-frein-a-main,1,0,G2,"câble de frein à main",0
"Freinage",412,"Capteur ABS",capteur-abs,1,0,G2,"capteur abs",26
"Freinage",277,"Cylindre de roue",cylindre-de-roue,1,0,G2,"cylindre de roue",2
"Freinage",82,"Disque de frein",disque-de-frein,1,1,G1,"disque de frein",74
"Freinage",78,"Étrier de frein",etrier-de-frein,1,0,G2,"étrier de frein",65
"Freinage",83,"Flexible de frein",flexible-de-frein,1,0,G2,"flexible de frein",28
"Freinage",806,"Interrupteur des feux de freins",interrupteur-des-feux-de-freins,1,0,G2,"interrupteur des feux de freins",0
"Freinage",3859,"Kit de freins arrière",kit-de-freins-arriere,1,0,G2,"kit de freins arrière",0
"Freinage",70,"Mâchoires de frein",machoires-de-frein,1,0,G2,"mâchoires de frein",0
"Freinage",258,"Maître cylindre de frein",maitre-cylindre-de-frein,1,0,G2,"maître cylindre de frein",0
"Freinage",402,"Plaquette de frein",plaquette-de-frein,1,1,G1,"plaquette de frein",69
"Freinage",387,"Pompe à vide de freinage",pompe-a-vide-de-freinage,2,0,G3,"pompe à vide de freinage",0
"Freinage",73,"Répartiteur de frein",repartiteur-de-frein,2,0,G3,"répartiteur de frein",0
"Freinage",74,"Servo frein",servo-frein,1,0,G2,"servo frein",2
"Freinage",123,"Tambour de frein",tambour-de-frein,1,0,G2,"tambour de frein",35
"Freinage",407,"Témoin d'usure",temoin-d-usure,1,0,G2,"témoin d'usure",7
"Freinage",54,"Vis de disque",vis-de-disque,2,0,G3,"vis de disque",5
"Courroie, galet, poulie et chaîne",1123,"Chaîne de distribution",chaine-de-distribution,1,0,G2,"chaîne de distribution",72
"Courroie, galet, poulie et chaîne",10,"Courroie d'accessoire",courroie-d-accessoire,1,1,G1,"courroie d'accessoire",64
"Courroie, galet, poulie et chaîne",306,"Courroie de distribution",courroie-de-distribution,1,0,G2,"courroie de distribution",80
"Courroie, galet, poulie et chaîne",312,"Galet enrouleur de courroie d'accessoire",galet-enrouleur-de-courroie-d-accessoire,1,0,G2,"galet enrouleur de courroie d'accessoire",0
"Courroie, galet, poulie et chaîne",313,"Galet enrouleur de courroie de distribution",galet-enrouleur-de-courroie-de-distribution,2,0,G3,"galet enrouleur de courroie de distribution",0
"Courroie, galet, poulie et chaîne",310,"Galet tendeur de courroie d'accessoire",galet-tendeur-de-courroie-d-accessoire,1,0,G2,"galet tendeur de courroie d'accessoire",0
"Courroie, galet, poulie et chaîne",308,"Galet tendeur de courroie de distribution",galet-tendeur-de-courroie-de-distribution,2,0,G3,"galet tendeur de courroie de distribution",0
"Courroie, galet, poulie et chaîne",1389,"Kit de chaîne de distribution",kit-de-chaine-de-distribution,1,0,G2,"kit de chaîne de distribution",0
"Courroie, galet, poulie et chaîne",307,"Kit de distribution",kit-de-distribution,1,1,G1,"kit de distribution",19
"Courroie, galet, poulie et chaîne",1260,"Pompe à eau",pompe-a-eau,1,1,G1,"pompe à eau",74
"Courroie, galet, poulie et chaîne",1108,"Poulie d'alternateur",poulie-d-alternateur,1,0,G2,"poulie d'alternateur",0
"Courroie, galet, poulie et chaîne",1067,"Poulie d'arbre à came",poulie-d-arbre-a-came,1,0,G2,"poulie d'arbre à came",0
"Courroie, galet, poulie et chaîne",3213,"Poulie vilebrequin",poulie-vilebrequin,1,0,G2,"poulie vilebrequin",7
"Préchauffage et allumage",689,"Bobine d'allumage",bobine-d-allumage,1,0,G2,"bobine d'allumage",48
"Préchauffage et allumage",1750,"Boîtier de préchauffage",boitier-de-prechauffage,1,0,G2,"boîtier de préchauffage",0
"Préchauffage et allumage",686,"Bougie d'allumage",bougie-d-allumage,1,1,G1,"bougie d'allumage",33
"Préchauffage et allumage",243,"Bougie de préchauffage",bougie-de-prechauffage,1,1,G1,"bougie de préchauffage",41
"Préchauffage et allumage",683,"Distributeur d'allumage",distributeur-d-allumage,2,0,G3,"distributeur d'allumage",0
"Préchauffage et allumage",685,"Faisceau d'allumage",faisceau-d-allumage,1,0,G2,"faisceau d'allumage",1
"Préchauffage et allumage",1218,"Module d'allumage",module-d-allumage,2,0,G3,"module d'allumage",1
"Direction et liaison au sol",130,"Amortisseur de direction",amortisseur-de-direction,2,0,G3,"amortisseur de direction",60
"Direction et liaison au sol",285,"Barre de direction",barre-de-direction,1,0,G2,"barre de direction",52
"Direction et liaison au sol",274,"Barre stabilisatrice",barre-stabilisatrice,2,0,G3,"barre stabilisatrice",79
"Direction et liaison au sol",3230,"Biellette de barre stabilisatrice",biellette-de-barre-stabilisatrice,1,0,G2,"biellette de barre stabilisatrice",23
"Direction et liaison au sol",273,"Bras de suspension",bras-de-suspension,1,1,G1,"bras de suspension",41
"Direction et liaison au sol",1211,"Colonne de direction",colonne-de-direction,1,0,G2,"colonne de direction",30
"Direction et liaison au sol",286,"Crémaillière de direction",cremailliere-de-direction,1,0,G2,"crémaillière de direction",0
"Direction et liaison au sol",3252,"Détecteur de l'angle de braquage",detecteur-de-l-angle-de-braquage,2,0,G3,"détecteur de l'angle de braquage",0
"Direction et liaison au sol",653,"Moyeu de roue",moyeu-de-roue,2,0,G3,"moyeu de roue",34
"Direction et liaison au sol",12,"Pompe de direction assistée",pompe-de-direction-assistee,1,0,G2,"pompe de direction assistée",18
"Direction et liaison au sol",2066,"Rotule de direction",rotule-de-direction,1,1,G1,"rotule de direction",74
"Direction et liaison au sol",2462,"Rotule de suspension",rotule-de-suspension,1,1,G1,"rotule de suspension",44
"Direction et liaison au sol",655,"Roulement de roue",roulement-de-roue,1,0,G2,"roulement de roue",9
"Direction et liaison au sol",191,"Soufflet de direction",soufflet-de-direction,1,0,G2,"soufflet de direction",1
"Amortisseur et suspension",854,"Amortisseur",amortisseur,1,1,G1,"amortisseur",86
"Amortisseur et suspension",1182,"Butée élastique d'amortisseur",butee-elastique-d-amortisseur,1,0,G2,"butée élastique d'amortisseur",0
"Amortisseur et suspension",1632,"Kit de butée de suspension",kit-de-butee-de-suspension,1,0,G2,"kit de butée de suspension",0
"Amortisseur et suspension",188,"Ressort de suspension",ressort-de-suspension,1,0,G2,"ressort de suspension",2
"Amortisseur et suspension",1718,"Sphère de suspension",sphere-de-suspension,2,0,G3,"sphère de suspension",0
"Support moteur",249,"Support de boîte vitesse",support-de-boite-vitesse,1,0,G2,"support de boîte vitesse",1
"Support moteur",247,"Support moteur",support-moteur,1,1,G1,"support moteur",84
"Embrayage",48,"Butée d'embrayage",butee-d-embrayage,1,0,G2,"butée d'embrayage",9
"Embrayage",478,"Câble d'embrayage",cable-d-embrayage,1,0,G2,"câble d'embrayage",32
"Embrayage",234,"Emetteur d'embrayage",emetteur-d-embrayage,1,0,G2,"emetteur d'embrayage",3
"Embrayage",3419,"Fourchette d'embrayage",fourchette-d-embrayage,2,0,G3,"fourchette d'embrayage",0
"Embrayage",4688,"Guide d'embrayage",guide-d-embrayage,2,0,G3,"guide d'embrayage",1
"Embrayage",479,"Kit d'embrayage",kit-d-embrayage,1,1,G1,"kit d'embrayage",72
"Embrayage",620,"Récepteur d'embrayage",recepteur-d-embrayage,1,0,G2,"récepteur d'embrayage",0
"Embrayage",1650,"Tringle de vitesses",tringle-de-vitesses,2,0,G3,"tringle de vitesses",0
"Embrayage",577,"Volant moteur",volant-moteur,1,0,G2,"volant moteur",32
"Transmission",624,"Bague d'étanchéité cardan",bague-d-etancheite-cardan,2,0,G3,"bague d'étanchéité cardan",0
"Transmission",13,"Cardan",cardan,1,1,G1,"cardan",82
"Transmission",1427,"Joint arbre longitudinal",joint-arbre-longitudinal,2,0,G3,"joint arbre longitudinal",0
"Transmission",2109,"Palier d'arbre de transmission",palier-d-arbre-de-transmission,2,0,G3,"palier d'arbre de transmission",0
"Transmission",193,"Soufflet de Cardan",soufflet-de-cardan,1,0,G2,"soufflet de cardan",11
"Transmission",1147,"Trépied arbre de commande",trepied-arbre-de-commande,2,0,G3,"trépied arbre de commande",0
"Système électrique",4,"Alternateur",alternateur,1,1,G1,"alternateur",83
"Système électrique",682,"Contacteur démarreur",contacteur-demarreur,2,0,G3,"contacteur démarreur",0
"Système électrique",2,"Démarreur",demarreur,1,1,G1,"démarreur",85
"Système électrique",1367,"Neiman",neiman,1,0,G2,"neiman",64
"Capteurs",412,"Capteur ABS",capteur-abs,1,0,G2,"capteur abs",26
"Capteurs",3921,"Capteur de cognement",capteur-de-cognement,1,0,G2,"capteur de cognement",0
"Capteurs",3908,"Capteur de pédale d'accélérateur",capteur-de-pedale-d-accelerateur,2,0,G3,"capteur de pédale d'accélérateur",0
"Capteurs",3996,"Capteur de pression Common Rail",capteur-de-pression-common-rail,2,0,G3,"capteur de pression common rail",0
"Capteurs",4813,"Capteur impulsion",capteur-impulsion,1,0,G2,"capteur impulsion",1
"Capteurs",1289,"Capteur niveau d'huile moteur",capteur-niveau-d-huile-moteur,1,0,G2,"capteur niveau d'huile moteur",0
"Capteurs",817,"Capteur pression de carburant",capteur-pression-de-carburant,1,0,G2,"capteur pression de carburant",60
"Capteurs",4272,"Capteur pression de gaz d'échappement",capteur-pression-de-gaz-d-echappement,2,0,G3,"capteur pression de gaz d'échappement",0
"Capteurs",3947,"Capteur pression du tuyau d'admission",capteur-pression-du-tuyau-d-admission,1,0,G2,"capteur pression du tuyau d'admission",0
"Capteurs",4175,"Capteur pression et température d'huile",capteur-pression-et-temperature-d-huile,1,0,G2,"capteur pression et température d'huile",0
"Capteurs",3939,"Capteur température d'air admission",capteur-temperature-d-air-admission,1,0,G2,"capteur température d'air admission",0
"Capteurs",3890,"Electrovanne",electrovanne,2,0,G3,"electrovanne",82
"Capteurs",806,"Interrupteur des feux de freins",interrupteur-des-feux-de-freins,1,0,G2,"interrupteur des feux de freins",0
"Capteurs",2197,"Interrupteur position de marche",interrupteur-position-de-marche,2,0,G3,"interrupteur position de marche",0
"Capteurs",805,"Pressostat d'huile",pressostat-d-huile,1,0,G2,"pressostat d'huile",0
"Capteurs",830,"Sonde de refroidissement",sonde-de-refroidissement,1,0,G2,"sonde de refroidissement",1
"Capteurs",3922,"Sonde lambda",sonde-lambda,1,0,G2,"sonde lambda",6
"Capteurs",1298,"Valve de réglage du ralenti",valve-de-reglage-du-ralenti,1,0,G2,"valve de réglage du ralenti",0
"Système d'alimentation",1303,"Accumulateur de pression de carburant",accumulateur-de-pression-de-carburant,2,0,G3,"accumulateur de pression de carburant",0
"Système d'alimentation",158,"Boîtier papillon",corps-papillon,1,0,G2,"boîtier papillon",49
"Système d'alimentation",3916,"Conduite à haute pression d'injection",conduite-a-haute-pression-d-injection,2,0,G3,"conduite à haute pression d'injection",0
"Système d'alimentation",3927,"Débitmètre d'air",debitmetre-d-air,1,1,G1,"débitmètre d'air",62
"Système d'alimentation",3902,"Injecteur",injecteur,1,0,G2,"injecteur",87
"Système d'alimentation",3894,"Joint d'injecteur",joint-d-injecteur,1,0,G2,"joint d'injecteur",1
"Système d'alimentation",3893,"Joint de pompe d'injection",joint-de-pompe-d-injection,2,0,G3,"joint de pompe d'injection",0
